officer,complaints
Wayne Jenkins,227
Evodio Hendrix,164
Marcus Taylor,161
Daniel Hersl,130
Maurice Ward,119
Jemell Rayam,107
Steven Mahan,86
Joseph Donato,66
Calvin Moss,63
Edward Creed,56
Momodu Gondo,56
Fabien Laronde,52
Rashard King,50
Benjamin Critzer,49
Charles Baugher,48
Courtney Wright,48
James Klein,47
Steven Foster,45
David Burch,44
Erwin Scofield,42
Richard Guy,40
Sharod Watson,40
Michael Mercado,38
Aisha White-Bey,37
Christopher Lehman,35
Ethan Newberg,33
Joseph Wiczulis,33
Scott Lawrence,32
Brandon Smith-Saxon,32
Richard Watts,32
Ryan Hill,31
Robert Moorhead,31
Rico Perry,31
James Craig,30
Bruce Dhaiti,30
John Gossett,30
Dylan LaPorta,30
Hovhannes Simonyan,30
"Duane Williams, Jr.",30
Shawn Fuksa,29
Ronald Rinehart,29
Andres Severino,29
Joshua Hall,28
Clayton Leak,28
Yolanda Nelson,28
Andres Rodriguez,28
Luke Shelley,28
David Crites,27
Alexander Ames,26
Anthony Weems,25
Clemmie Anderson,24
Betavia Elliott,24
"Frank Friend, Jr.",24
Charles Thompson,24
Adam Tondeur,24
Arthur Williams,24
Derick Allen,23
Scott Armstrong,23
Phoenix Frey,23
Sufian Hassan,23
Denishia Jordan,23
Sherrod Biggers,22
Aaron Dail,22
Ben Frieman,22
Demario Harris,22
Charles Manners,22
Keith Perry,22
Leon Riley,22
Timothy Romeo,22
Carl Ross,22
Kenneth Sanchez,22
Chris Sullivan,22
Norman Jones,21
Ian Meertens,21
Robert Messner,21
Valentine Nagovich,21
Ricardo Ojeda,21
Antonio Saunders,21
Gabriel Barnett,20
Anthony Casabona,20
Brandon Chambers,20
Steven Angelini,19
Alan Chanoine,19
Taulant Halilaj,19
Cody Holliday,19
John Jaimes,19
Tyler Scott,19
Laron Wilson,19
Jorge Bernardez-Ruiz,18
Jamal Brunson,18
Eric Dodson,18
James Edge,18
Mark Gurbelski,18
Stephen Halstead,18
"Thomas Hodas, Jr.",18
Jason Leventhal,18
Rafiu Makanjuola,18
David MacNeill,18
Phillip McMorris,18
Michael Nolan-Anderson,18
"Lonnie White, Jr.",18
Devin Yancy,18
Nicholas Betz,17
Kevin Brown,17
Bryan Chenowith,17
David Ciotti,17
Morgan Clasing,17
Orice Custis,17
"Gary Fanning, Jr.",17
Johnta Gray,17
Darrell London,17
Jamil Shakir,17
Kurt Yourkovik,17
Jason Zimmerman,17
Bijay Ranabhat,16
Aaron Cain,16
Jordan Distance,16
Deonte Duck,16
Kyle Gaskin,16
Michael Jones,16
Supreme Jones,16
Akeem Nelson,16
Paulo Pereira,16
Brandon Sanchez,16
Gregory Shuttleworth,16
Charles Smith,16
Christopher Amsel,15
Jacob Antignano,15
Darius Carter,15
Nicholas De Jesus,15
Gregory Edleman,15
Colin Harner,15
Thomas Kirby,15
Brian Loiero,15
"Thomas Mistysyn, Jr.",15
Darryl Parker,15
Giusseppe Polanco,15
