officer,complaints,use_of_force_incidents
Benjamin Critzer,49,82
James Klein,47,46
Steven Foster,45,44
"David Burch, Jr.",44,55
Erwin Scofield,42,53
Ryan Hill,31,41
Hovhannes Simonyan,30,120
James Craig,30,76
John Gossett,30,51
Andres Rodriguez,28,99
Luke Shelley,28,67
Scott Armstrong,23,59
Leon Riley,22,63
Aaron Dail,22,40
Gabriel Barnett,20,50
Taulant Halilaj,19,51
Cody Holliday,19,45
Jason Leventhal,18,93
Mark Gurbelski,18,52
Michael Nolan-Anderson,18,50
Jamil Shakir,17,60
Kurt Yourkovik,17,51
Charles Smith,16,113
Deonte Duck,16,75
Brandon Sanchez,16,72
Paulo Pereira,16,40
Gregory Edleman,15,92
Brian Loiero,15,90
Giusseppe Polanco,15,68
Christopher Amsel,15,65
Thomas Kirby,15,47
Colin Harner,15,46
Jacob Antignano,15,43
James Deasel,14,80
Nicholas Yinger,14,76
David Colburn,14,65
Donald Waldron,14,61
Daniel Waskiewicz,14,47
Kevin Fassl,14,44
Jeffrey Santos,13,55
Victor Villafane,13,55
Tyler Sentz,12,62
James Kostoplis,12,51
Richard Whittaker,12,51
