officer_id,name_clean,n
0001,"BRAUER, EWALD",18
0001,"MILLSAPS, M",9
0001,"SCOTT, J",7
0001,UCKER,3
0002,"BIEDENBACK, DNALD",1
0002,"MWAMBA, MUHAMMAD",1
0002,"RICHBURG, MILLAR",1
0003,"LATING, STEPHEN",2
0003,"FOWLKES, EARL",1
0004,"TILLERY, GOVERNOR",29
0005,"THESS, KATHRYN",2
0007,"VAUGHAN, T",199
0007,"BARNES, ALVIN",3
0007,"BROWN, GARRY",1
0008,"GALLANT, R",2
0008,"EMMER, JOSHUA",1
0009,"BENSON, N",18
0009,ASTARITA,2
000F,"LEE, EBONY",1
0010,"CUSIMANO, M",48
0010,"FRANKLIN, GLENN",3
0011,HATCHER,11
0011,"SMITH, ROBERT",7
0011,"HERLTH, STEPHEN",1
0012,"STORMS, D",43
0012,"JANICKI, RAYMOND",10
0012,"ROSENTHAL, ANGELA",7
0012,"KUBOVSAK, MICHA",4
0012,"LEE, M",1
0013,"OISHE, D",2
0013,"BAUER, JACOB",1
0014,"HAYDEN, PAUL",4
0015,"BRITT, TREVOR",21
0015,"ROBESON, ER",9
0015,"O'SHEA, D",7
0015,"RICKS, R",3
0015,"BELL, ARNOLD",1
0016,"HORNEY, JOHN",27
0016,"BRUMFIELD, LEST",5
0016,"PHILLIPS, ARTHUR",4
0016,"FRIEDMAN, HOWARD",1
0017,"LEE, MICHAEL",24
0017,"NAUMANN, ROBERT",10
0017,"CLOWNEY, JAMES",1
0018,"KUREK, VINCENT",13
0018,"WRIGHT, DONNA",4
0018,"WYNN, JOSEPH",3
0018,"DONNELLY, O",1
0019,"KEMP, R",5
0019,"SPANN, JEROME",2
0019,"COOPER, WILBUR",1
0019,"DAVIS, GASTON",1
0019,"JACKSON, C",1
0020,"SCHENNING, MICHAEL",32
0020,"LOW, BONNIET",12
0020,"ENGLISH, M",7
0020,"JARRELL, JOHN",1
0021,"BRADFORD, LOU",311
0021,"KUNZ, J",8
0021,"SAPPINGTON, RONALD",5
0021,"GALLOWAY, JESSE",2
0022,"HARRINGTON, TERRANCE",208
0022,"SHAW, JOEL",16
0022,"ZAIS, DENNIS",2
0023,"KANE, TIMOTHY",25
0023,"DORM, JEROME",8
0023,"FREEMAN, D",4
0023,"SIWEK, THOMAS",3
0023,"ADAMS, E",1
0024,"RAWSON, F",27
0024,"DAMON, JEROME",12
0024,"MCLEAN, J",1
0025,"MEJIA, ERIC",21
0025,"GEORGE, WILLIAM",1
0026,"HOLLINGSWORTH, DAVID",370
0026,"WAINWRIGHT, MAR",42
0026,"MWAMBA, MUHAMMAD",4
0026,"MAYNARD, EARL",3
0027,"COLE, ML",35
0027,"CROWDER, H",4
0027,"ELINE, RICHARD",1
0028,"ERNST, M",198
0028,"WARD, EARLINE",18
0029,"ROBINSON, JOHNNY",14
0029,"HOLLINGSWORTH, D",1
0029,"SMITH, CHARLES",1
0030,"SANTAVENERE, ANTHONY",16
0030,"KELLY, JEFFREY",1
0031,"WESTERVELT, RONALD JR",29
0032,"MAAMEN, SAHERU",12
0032,"MADISON, ROBERT",8
0032,"ANDERSON, CLEMMIE",1
0032,"HARLEE, LARRY",1
0033,"CERUTI, FRED",135
0033,"MCMILLION, MICHAEL",32
0034,"GALL, S",42
0034,"PLEINES, GERARD",8
0035,"HATCHER, A",15
0035,"WOMACK, ROBERT",9
0036,"AMOS, JAMES",92
0036,"ARMIEGER, C",3
0036,"CROSBY, DEBORAH",3
0037,"TEAL, MICHAEL",4
0037,"IMAN, RICHARD",2
0037,"STUDEVANT, EILEEN",1
0037,"WRIGHT, JAMES",1
0038,"OLIENYK, J",56
0038,"STARK, JOHN",20
0038,"JACKSON, FREDERICK",13
0038,"BROWN, MICHAEL",3
0039,"CRAWFORD, GARY",2
0039,"HOHENSTEIN, T",1
0040,"CZORAPINSKI, D",17
0040,"BRIDLIE, W",10
0040,"MEEKINS, B",5
0040,"LINDNER, LARRY",4
0040,"GIBSON, CHARLES",3
0040,"PALMER, M",1
0041,"BARNES, ALVIN",67
0041,"BERRY, SHIRLEEN",3
0041,"LANE, STEVEN",1
0042,"MORTON, DONALD",51
0042,"COLLIER, WILLIAM",1
0043,"HORTON, ROBERT",2
0044,"MALECKI, RONALD",6
0044,"MACKALL, ROBERT",2
0045,"TANIS, W",9
0045,"HARCUM, LAUNA",5
0046,"CALVERT, M",203
0046,"MARZOLA, DAVID",6
0046,"ENGLISH, MARY",2
0046,"GRAY, ELAINE",2
0046,"BROCK, MARY",1
0046,"KULESZ, KENNETH",1
0047,"WANGER, KURT",12
0048,"KLOID, DAVID",2
0049,"BREIG, THOMAS",51
0049,"WATTS, RICHARD",6
0049,"TUCKER, D",3
0050,PYLE,54
0050,"SAMPSON, WALLACE",5
0050,"BROWN, ELMA",2
0051,"ALVEAR, CHARLIE",4
0051,"MARPLE, D",1
0052,"MANGOLD, MICHELLE",117
0052,"TUCKER, ERIC",19
0053,"MERITT, LORENZO",14
0053,"BROWN, DONALD",2
0054,"ROSENDALE, ROBER",2
0054,"INSLEY, T",1
0055,"BANK, WARREN",20
0056,"WRIGHT, DARRYL",17
0056,"MATZERATH, J",1
0057,"CASEY, J",25
0057,"WALLACE, TROY",1
0058,"MOONEY, MICHAEL",10
0059,"LINDSAY, DARYL",4
0059,"TURNER, ED",4
0059,"ALLEN, T",1
0060,"GRIFFIN, LATONY",6
0060,"USHER, BARRY",2
0061,"VARGAS, HENRY",19
0061,"SCHALLHORN, K",1
0062,"BYRD, JAMES",18
0062,"HARGROVE, ANTHONY",1
0063,"WASHINGTON, RODNEY",9
0063,"HARLEE, MICHAEL",3
0064,"JACKSON, CAROLYN",25
0064,"MONTGOMERY, LUKE JR",17
0065,"MCDAVID, VERNIL",94
0066,"CLAY, BERNADETTE",5
0066,"LONABERGER, EDRON JR",1
0067,"JACKSON, CARLA",1
0067,"KIRKWOOD, DORIS",1
0068,"TAYLOR, DARNELL",122
0068,"HICKS, PETE",28
0068,"DAIS, ALISAIR",1
0069,"GLOVER, MYRTLE",35
0069,"LOFTUS, JOHN",1
0070,"CURLEY, RICHARD JR",1
0072,"VOGELPOHL, JOHN",8
0072,"VOLZ, L",1
0073,"FLEMING, MARGARET",250
0073,"KLUVER, K",3
0073,"MCMEEKIN, S",1
0074,"WILLIAMS, JOHN",5
0074,"SABELHAUS, JAMES",1
0075,"BAKER, REGINALD",22
0075,"SEREBOFF, JENNIFER",6
0076,"WILLIAMS, ADRIANNE",27
0076,"MUECK, LT",1
0077,"WASHINGTON, JEROME",6
0077,"SMITH, A",3
0078,"CARR, NEAL",5
0078,"GARDNER, SHAWN",1
0079,"WHITE, KEITH",20
0080,"HANDY, RODERICK",20
0080,"JOHNSON, ARTIC",11
0081,"JOHNSON, ANTHON",27
0081,"ROSS, J",1
0082,"MCCOLLUM, BURNA",3
0083,"WYNDHAM, RODNEY",4
0084,"LEE, TYRONE",310
0084,"DAILEY, P",1
0084,"WEBSTER, MICHAEL",1
0085,"GORRELL, HOWARD",178
0087,"TAYLOR, JOHN",3
0087,"EDWARD, ROSEANN",2
0088,"TODD, CHAVERS",7
0088,"HOLLAND, CHRIS",5
0089,"NO, LONGER WDORSEY",12
0090,"JACKSON, LEROY",21
0091,"COMBS, KENNETH",70
0092,"PINDELL, CARLOS",14
0093,"WALTHALL, JAMES",3
0094,"PRUITT, W JR",19
0094,"GRUZS, CHRISTOPHER",5
0095,"BRUNSON, HELENA",11
0095,"BAKER, PAUL",10
0095,"HOWARD, KEVIN",5
0097,"PURNELL, TAMARA",1
0098,"HOLLOMAN, KAREN",5
0099,"SELLERS, GERALD",5
0099,"GRANT, MICHAEL",1
0100,"GEORGE, CHARLES",1
0102,"HOUSE, GREGORY",62
0103,"THORPE, SHIRLEY",3
0103,"LODGEN, P",2
0104,"DREWERY, JAMES",316
0104,"HERRMANN, ALLEN",2
0106,"ISON, CHRISTOPHER",8
0107,"BRISCOE, DENISE",72
0108,"EVANS, STEVEN",1
0109,"CAREY, CHARLES",36
0109,"FISHER, T",2
0110,"PITTS, AARON",31
0111,"GILES, CHARLES",12
0111,"LURZ, RONALD",6
0111,"LADSON, NEAL",5
0111,"BURKHOLDER, R",1
0111,"MCNEAL, DONNELL",1
0112,"PAIGE, DONALD",59
0112,"GILES, CHARLES",16
0112,"DIAZ, E",4
0112,"WESTJACKS, SHARON",3
0113,"BROOKS, SEAN SR",21
0113,"BELL, KIMBERLY",6
0113,"PERRY, TIMOTHY ROBERT",4
0114,"CARTER, JOSEPH",23
0114,"FANNING, J",2
0114,"HAYES, JUSTIN",2
0115,"ROANE, ERNEST",11
0115,"HOPEWELL, RICKY",6
0115,"TOU, P",1
0116,"BATTAN, M",36
0116,"HARDY, LARRY",28
0116,"ELDEIDGE, THERESA",3
0116,"BATTON, MICHAEL",1
0116,"BOND, RESIGNED",1
0116,"WHITE, URSULA",1
0117,"GRAHAM, CHRISTOPHER",3
0117,"GAINEY, P",1
0118,"GIVENS, SEAN",20
0118,"GRANT, MICHAEL",14
0118,"ANDERSON, NORMAN",2
0118,"BAKER, RESIGNED",1
0119,"CRAWFORD, CLIFTON",10
0119,"KEMP, RUSSELL",1
0120,"CALDERON, ALBERT",30
0120,"BAUST, OFFC",1
0121,"JENKINS, MARCUS",59
0121,"CUNNINGHAM, GEORGE",4
0121,"BIRD, S",1
0121,"TESTERMAN, D",1
0122,"WEEMS, JOHN",14
0122,"PUGH, KEVIN",2
0122,"SEVILLA, RESIGNED",1
0123,"GRAHAM, BRISCOE JR",119
0123,CRUZ MIRANDA,3
0123,"WALKER, R",2
0124,"GOINES, J",17
0124,"HOLMAN, KELLY",17
0124,"COX, JEREMIAH",1
0124,"TYLER, KA",1
0125,"TUER, JEFFREY",21
0125,"TYLER, KEVIN",18
0125,"CARTER, A",10
0125,"RICKLY, R",5
0125,"MCCLAIN, JAMES",4
0125,"STEPALOVITCH, JOSEPH",2
0126,"BROWN, WILLIAM",16
0126,"MCCULLEN, WALTER",2
0127,"BOARDERLY, ORLANDO",48
0127,"SMITH, CHRIS",41
0127,"NOLAN, REGINA",7
0127,"BANDELIN, KIRK",1
0127,"GREEN, CHEANEKA",1
0128,"MATTHEWS, LISA",11
0128,"KELLY, HOWARD",1
0129,"ERVIN, ERIC",26
0129,"HOLMES, MICHAEL",4
0129,BEATTY,2
0129,"DICKENS, MARY",2
0129,"GODZICH, CHRISTINE",1
0130,"MILLER, ALBERT",7
0130,"WILDER, KATHRYN",2
0130,"YOUNG, ALFRED",1
0131,"REYNOLDS, DANIEL",7
0131,"WHITAKER, JOSEPH III",5
0132,"CONNELLY, ROBERT",49
0132,"BISHOP, JAMES",3
0132,"COLLINS, S",1
0132,"SALADINO, ERIC",1
0133,"HUGHES, FRANKLIN",15
0133,"SPANGENBERG, G",4
0133,"DAVIS, ANDRE",2
0133,"SULLIVAN, SHANON",2
0134,"HOWARD, IRVIN",20
0134,"BECK, J",1
0135,"SCHEIDT, JASON",434
0135,"RODRIGUEZ, I",10
0135,"SMITH, MONICA",3
0135,"TORRES, C",3
0135,"MILLHOUSE, T",1
0135,"POLLARD, T",1
0136,"LEMON, FRISSELL",5
0137,"JONES, LOUIS",61
0137,"BERENDS, ROBERT",51
0137,"DIXON, RESIGNED",3
0137,"STEVENSON, THOMAS",3
0137,"BRUCE, LOWELL",1
0137,"COOPER, J",1
0137,"PAIGO, M",1
0138,"INGRAM, NICHOLAS",20
0138,"DAVIS, PREDEST",13
0138,"BARNHART, JAMES",12
0138,"BOOTS, D",11
0138,"ECKER, LT",2
0138,"KRAFCHIK, GREG",2
0138,"MAJORS, CORA",2
0139,"HUNDT, M",33
0139,"BARNES, GREGORY",12
0139,"ANDERSON, KEITH",6
0140,"SCAGGS, JODY",24
0140,"ALTON, J",8
0141,"GREEN, M",30
0141,"HOWARD, FLEMING JR",1
0142,"WISE, C",16
0142,"KENNEDY, RONALD",1
0143,"BRYDGE, RICHARD",194
0143,"KINEMAN, K",4
0143,"SMITH, L",3
0143,"BEAM, G",1
0143,"DONALD, W",1
0144,"MOSS, MARION",4
0144,"BEAM, J",2
0145,"MCCULLOUGH, CHRISTOPHER",568
0145,"SLAUGHTER, X",1
0145,"SMITH, E",1
0146,"WYNDHAM, L",6
0146,"ADAMS, PAUL",4
0146,"TAYLOR, N",1
0147,"HUFF, ANTHONY MONTEZ",36
0147,"ANDERSON, KEVIN",29
0147,"BRUNSON, KENNETH",15
0147,"CAMPBELL, T",2
0148,"DRAKE, GARY",27
0148,"DIXON, BENNETT",1
0149,"THOMAS, TAVONDIA",49
0149,"EATON, GERALD",9
0150,"REED, E",22
0150,"JORDAN, EARL",1
0151,"SMITH, ADRIENNE",16
0152,"CARVER, DENNIS",87
0152,"AUGERINOS, M",3
0152,"BERRY, STEVEN",2
0153,"BALL, LARRY",206
0153,"BROKENBOROUGH, RET",2
0154,"DAMRON, FRED",125
0155,"HARRISON, RAQUEL",39
0156,"GLOVER, A",24
0156,"MOYE, MARY",4
0156,DAUPHIN,1
0157,"JENKINS, D",5
0158,"CANTY, CAROL",17
0158,"HARTMAN, DARREN",9
0159,"CORA, MICHAEL",41
0159,"LAMPKIN, S",3
0159,"BARNES, A",2
0160,"BELLAMY, BRYON",33
0160,"JOHNSON, JIMMY",1
0161,"BRANDENBERG, JOHN",464
0161,"SANTIAGO, EDWIN",23
0161,TWENTYMON,3
0161,"FAIDLEY, A",1
0162,"BURROW, ROONEY",4
