officer_id,name_clean,n,cluster
0116,"BATTAN, M",36,1
0116,"BATTON, MICHAEL",1,1
0259,REICHART,1,2
0259,"REINCHART, LOUIS",1,2
0413,"MEEYETT, L",6,1
0413,"MEYUETT, LORRAINE",3,1
0463,"KELLAM, LEROY JR",20,1
0463,"KELLUM, JR",4,1
0604,"CLAYCOM, J",2,1
0604,"CLAYCOMB, JEFFREY",2,1
0824,"KINSLEY, WILLIAM",33,1
0824,"KINSEY, W",4,1
0959,"FREUD, S",35,1
0959,FREUND,10,1
1232,"MTERS, JOHN",11,1
1232,"MYERS, J",2,1
2275,"BROOKS, MICHAEL",4,1
2275,"MILBURN, MICHAEL",3,1
2669,"WHITE, G",20,1
2669,"WHITMIRE, R",1,1
2703,"EARLE, CHARLES",391,1
2703,"EARL, C",7,1
2798,"HERRIOTT, JEFFERSON",97,1
2798,"HERRIET, J",4,1
2806,"BURGER, JAMES",12,1
2806,"BURGER, MARKR",1,1
3443,"MCDONALD, C",40,1
3443,"MCDONOLD, CHRISTOPHER",34,1
3680,"RUBY, ERNEST",6,1
3680,"RUBY, G",4,1
9356,"KEMENY, VIRGINIA",7,2
9356,"CHAPKO, VIRGINIA",2,2
B866,"ANDREW, MICHAEL",1,1
B866,ANDREWS,1,1
C063,"MURPHY, WINFRED",767,1
C063,"MURPHY, WIILIAM",3,1
C224,"RUPPERT, FRANCIS JR",111,1
C224,"RUPPERT, JAMES",105,1
C273,"DORSEY, STANLEY",19,1
C273,"DORSEY, S RON",8,1
C480,"STRULT, CHRIS",19,1
C480,"STREETT, CHRISTOPHER",2,1
C484,"ODEN, K",168,1
C484,"ODEN, JESSIE",66,1
C682,"JUSTICE, DARLEE",50,1
C682,"COLLINS, DARLEE",18,1
C699,"CARTER, LAVINA",67,1
C699,"DAVIS, LAVINIA",6,1
C825,"KRAUS, STAN",218,1
C825,"KRAUSE, STEVEN",41,1
C868,"SHEPPARD, JOYCE",105,1
C868,"STREETT, JOYCE",13,1
C884,"DASHIELL, SHAWN",115,1
C884,"HARRISON, SHAWN",8,1
D061,"VAUGHT, KEVIN",289,1
D061,"VAUGHT, VERNON JR",7,1
D236,"BIONDO, VINCENT",75,1
D236,"BIONCHO, V",2,1
D282,"SALYERS, JAMES",171,1
D282,"SALYERS, DANIEL",3,1
D341,"ASKEW, DONNA",176,1
D341,"COOPER, DONNA",12,1
D364,"CARLTON, CHRISTI",293,1
D364,"COLEMAN, CHRISTINE",1,1
D457,"YOUNG, MARYS",2,1
D457,"YOUNG, SUSAN",2,1
D462,"ARROYO, T",6,2
D462,"ARRAYO, TAWNA",1,2
D510,"DAVIS, LARRY",16,1
D510,"DAVIS, LAWRENCE",3,1
D516,"DARTAGNAN, SPENCER",91,1
D516,"DITANGZ, SPENCER",9,1
D530,"PETREY, RICHARD II",193,1
D530,"PETREYII, R",12,1
D591,"BIVENS, TIMOTHY",147,1
D591,"BIVENS, LAMONT",32,1
D646,"WILSON, RONALD JR",218,1
D646,"WILON, RON",55,1
D669,"KRACKE, SANDRA",138,1
D669,"WILLIE, SANDRA",2,1
D677,"COX, THERMON",104,1
D677,"COX, ERIC",21,1
D927,"HOLLAND, LARRY",171,1
D927,"HOLLINS, R",63,1
E006,"MOORE, TAMMY",138,1
E006,"TILSON, TAMMY",2,1
E056,"DRISCOLL, KEN",1,1
E056,"ISOM, E",1,1
E110,"BIRD, MARIA",599,1
E110,"ALLISON, MARIA",104,1
E117,"BELL, SANDRA",40,1
E117,"MOORE, SANDRA",3,1
E227,"FELDER, MARLENE",89,1
E227,"GREEN, MARLENE",18,1
E244,"ABDUSSALAAM, RAJEEYAH",167,1
E244,"ABOUSSALAM, R",34,1
E253,"ROBERTSON, DAVID",162,1
E253,"CHEUVRONT, DAVID",1,1
E258,"CHEUVRONT, DAVID II",172,1
E258,"CHEVROMT, DAVID II",84,1
E289,"BEWELY, GABRIEL",591,1
E289,"BEWLEY, GARBIEL",4,1
E445,"MCLEOD, TUESDAY",56,1
E445,"POWELL, TUESDAY",12,1
E497,"TARUD, GERALD",338,1
E497,"TARUD, JERRY",4,1
