id,name,rank,group,first_date,last_date
B649,"Meads, Norm",Sgt,Grp 56 - Interdiction,2012-01-04,2017-03-27
C188,"Muir, Donald",Sgt,RATT Squad 2,2012-01-04,2012-12-18
C325,"Weeks, Donald",Sgt,RATT Squad 2,2013-07-16,2013-07-23
C384,"Hatcher, Calloway",Det,Watch Center,2015-08-04,2017-11-27
C415,"Wagner, Edward",Det,Operations 1,2015-08-04,2015-12-22
C489,"Fields, Dale",Det,RATT Squad 2,2012-01-04,2012-03-04
C829,"Denford, William",Det,Grp 57 - DEA SIG,2012-01-04,2012-12-18
C844,"Martin, Stephen",Det,RATT Squad 2,2012-01-04,2012-12-18
C937,"Geiselman, Elizabeth",Det,Gun Trace Task Force-Sq 1,2012-01-04,2012-03-26
D135,"Burkett, Michael",Det,Grp 56 - Interdiction,2012-01-04,2017-09-06
D135,"Burkett, Michael",Det,Gun Registry - loc. 295,2017-09-13,2017-11-27
D311,"Gilden, John",Det,Asset Forfeiture Unit,2012-01-04,2017-05-01
D432,"Hensley, Gerald",Det,FBI Safe Streets,2016-03-10,2017-06-08
D432,"Hensley, Gerald",Det,FBI Safe Streets \ Gangs,2017-06-12,2017-11-27
D432,"Hensley, Gerald",Det,Major Case Squad 2,2013-10-21,2014-11-06
D432,"Hensley, Gerald",Det,SW1,2015-01-11,2015-05-20
D432,"Hensley, Gerald",Det,Wire,2015-05-28,2015-08-06
D432,"Hensley, Gerald",Det,WS5 (O),2012-01-04,2012-12-18
D432,"Hensley, Gerald",P/O,City Wide Intel,2013-02-20,2013-07-23
D432,"Hensley, Gerald",P/O,P/O,2013-04-15,2013-06-06
D432,"Hensley, Gerald",P/O,WS5,2013-07-24,2013-10-14
D439,"Osborne, Darryl",Det,RATT Squad 2,2012-01-04,2012-12-18
D487,"Wallner, Robert",Det,Fugitive,2015-08-04,2017-05-15
D487,"Wallner, Robert",Det,Fugitive Detailed to Colonel,2015-09-21,2016-01-27
D646,"Wilson, Ronald",Det,RATT Squad 1,2012-01-04,2017-05-15
D693,"Prescott, Lisa",Det,Balto. City Investigators,2012-01-04,2012-12-18
D733,"Adkins, Allen",Sgt,(Safe Streets to Retiring),2015-08-05,2015-09-15
D740,"Pratt, Michael",Det,ATF Group 3,2015-08-24,2017-11-27
D740,"Pratt, Michael",Det,ATG Group 3,2015-08-04,2015-08-20
D740,"Pratt, Michael",Det,Violent Crime Impact Team,2012-01-04,2012-12-18
D764,"Devine, Timothy",Lt,Cease Fire,2015-07-13,2016-12-10
